Unnamed: 0,province,CO2_tonnes,year
122.0,Phra Nakhon Si Ayutthaya,6344020.185017053,2001
123.0,Phrae,860906.8725347699,2001
124.0,Phuket,987826.615031784,2001
125.0,Prachin Buri,3959271.27574828,2001
126.0,Prachuap Khiri Khan,2164060.769902315,2001
127.0,Ranong,447088.2107692642,2001
128.0,Ratchaburi,8756996.530022435,2001
129.0,Rayong,10346652.325025626,2001
130.0,Roi Et,762171.5783847322,2001
131.0,Sa Kaeo,1039529.8738356256,2001
132.0,Sakon Nakhon,1248374.218132821,2001
133.0,Samut Prakan,4282305.9387269085,2001
134.0,Samut Sakhon,1463389.089421458,2001
135.0,Samut Songkhram,422318.7754556809,2001
136.0,Saraburi,4678545.886205087,2001
137.0,Satun,833829.220525752,2001
138.0,Sing Buri,600211.6598073235,2001
139.0,Sisaket,699607.4691744584,2001
140.0,Songkhla,3053658.3587185265,2001
141.0,Sukhothai,823500.1518724174,2001
142.0,Suphan Buri,3784590.810468125,2001
143.0,Surat Thani,3197867.084604539,2001
144.0,Surin,637828.4127892504,2001
145.0,Tak,913606.5304890204,2001
146.0,Trang,1980676.476092968,2001
147.0,Trat,662668.4911664848,2001
148.0,Ubon Ratchathani,1321693.367840575,2001
149.0,Udon Thani,2431565.63038661,2001
150.0,Uthai Thani,458265.01205635926,2001
151.0,Uttaradit,753001.6054286661,2001
152.0,Yala,631513.6849402866,2001
153.0,Yasothon,341297.55750526616,2001
154.0,Amnat Charoen,261879.87536465644,2002
155.0,Ang Thong,775072.6685862436,2002
156.0,Bangkok,16561289.720981758,2002
157.0,Bueng Kan,353231.94353437,2002
158.0,Buriram,814341.3272047109,2002
159.0,Chachoengsao,9015048.267466309,2002
160.0,Chainat,829534.5131761455,2002
161.0,Chaiyaphum,1130165.613150073,2002
162.0,Chanthaburi,1469000.342577734,2002
163.0,Chiang Mai,4546551.608008922,2002
164.0,Chiang Rai,2004053.936201351,2002
165.0,Chonburi,7824902.556609251,2002
166.0,Chumphon,1714588.1583492956,2002
167.0,Kalasin,1783074.200049701,2002
168.0,Kamphaeng Phet,1366997.18583438,2002
169.0,Kanchanaburi,3146239.4031065786,2002
170.0,Khon Kaen,3951829.348439328,2002
171.0,Krabi,1150818.5615154942,2002
172.0,Lampang,20009517.069068525,2002
173.0,Lamphun,945631.5134868335,2002
174.0,Loei,687876.0208273105,2002
175.0,Lopburi,2900786.8111913595,2002
176.0,Mae Hong Son,185691.70513467505,2002
177.0,Maha Sarakham,674406.9097882862,2002
178.0,Mukdahan,402184.9123748302,2002
179.0,Nakhon Nayok,871581.7595161676,2002
180.0,Nakhon Pathom,3328465.851024229,2002
181.0,Nakhon Phanom,805531.8247172517,2002
182.0,Nakhon Ratchasima,5065160.435463627,2002
183.0,Nakhon Sawan,2041571.673119088,2002
184.0,Nakhon Si Thammarat,3155426.7386594177,2002
185.0,Nan,599649.0374447231,2002
186.0,Narathiwat,1153590.95814604,2002
187.0,Nong Bua Lamphu,365098.2202149162,2002
188.0,Nong Khai,553299.3297330503,2002
189.0,Nonthaburi,3405902.473110158,2002
190.0,Pathum Thani,4320135.884711341,2002
191.0,Pattani,717081.1547892904,2002
192.0,Phang Nga,780075.9067909927,2002
193.0,Phatthalung,785752.126790944,2002
194.0,Phayao,721025.2812459039,2002
195.0,Phetchabun,1485754.6953937053,2002
196.0,Phetchaburi,1606953.1915451174,2002
197.0,Phichit,922336.604340704,2002
198.0,Phitsanulok,1787608.5860886115,2002
199.0,Phra Nakhon Si Ayutthaya,6658327.002843458,2002
200.0,Phrae,858061.9795293674,2002
201.0,Phuket,1131152.818411186,2002
202.0,Prachin Buri,3896249.304810855,2002
203.0,Prachuap Khiri Khan,2295035.1833878057,2002
204.0,Ranong,433029.1429289141,2002
205.0,Ratchaburi,9215632.492482962,2002
206.0,Rayong,10996059.178001251,2002
207.0,Roi Et,1270349.8223221016,2002
208.0,Sa Kaeo,960678.5145390788,2002
209.0,Sakon Nakhon,1059958.3657044354,2002
210.0,Samut Prakan,4428519.511987728,2002
211.0,Samut Sakhon,1621903.9681996086,2002
212.0,Samut Songkhram,423364.3228366108,2002
213.0,Saraburi,4654622.348294187,2002
214.0,Satun,702982.0160136098,2002
215.0,Sing Buri,601657.4668079499,2002
216.0,Sisaket,616767.0724737358,2002
217.0,Songkhla,3101333.373839707,2002
218.0,Sukhothai,1197942.3407200566,2002
219.0,Suphan Buri,3888730.321510696,2002
220.0,Surat Thani,3156283.583657526,2002
221.0,Surin,639329.4480917177,2002
222.0,Tak,1042455.6155048724,2002
223.0,Trang,1705175.2086924429,2002
224.0,Trat,485686.1946450462,2002
225.0,Ubon Ratchathani,1227514.211251459,2002
226.0,Udon Thani,2476131.35407934,2002
227.0,Uthai Thani,468405.9352473211,2002
228.0,Uttaradit,828389.5808509188,2002
229.0,Yala,549763.4850811214,2002
230.0,Yasothon,521678.35405106354,2002
231.0,Amnat Charoen,278055.19062354375,2003
232.0,Ang Thong,822867.5980583858,2003
233.0,Bangkok,17584800.31662009,2003
234.0,Bueng Kan,375080.6255336809,2003
235.0,Buriram,864557.763069333,2003
236.0,Chachoengsao,9599014.465021588,2003
237.0,Chainat,880687.8384237156,2003
238.0,Chaiyaphum,1199857.3838811968,2003
239.0,Chanthaburi,1559613.9452948836,2003
240.0,Chiang Mai,4827019.668356853,2003
241.0,Chiang Rai,2127889.36145438,2003
242.0,Chonburi,8314190.991289969,2003
243.0,Chumphon,1820318.400843381,2003
244.0,Kalasin,1893027.6415888767,2003
245.0,Kamphaeng Phet,1451793.905982418,2003
246.0,Kanchanaburi,3343231.59251272,2003
247.0,Khon Kaen,4200185.679233444,2003
248.0,Krabi,1221783.8981649857,2003
249.0,Lampang,21325635.645243816,2003
250.0,Lamphun,1003943.9717039098,2003
251.0,Loei,730368.15242525,2003
252.0,Lopburi,3079664.1072702147,2003
253.0,Mae Hong Son,197153.6139197111,2003
254.0,Maha Sarakham,715994.2761620989,2003
255.0,Mukdahan,427022.54938202,2003
256.0,Nakhon Nayok,925327.9318725012,2003
257.0,Nakhon Pathom,3533718.30078838,2003
258.0,Nakhon Phanom,855371.7351400118,2003
259.0,Nakhon Ratchasima,5379301.994012442,2003
260.0,Nakhon Sawan,2167465.3857875573,2003
261.0,Nakhon Si Thammarat,3350006.429165681,2003
262.0,Nan,636626.4527486477,2003
263.0,Narathiwat,1228643.6065938987,2003
264.0,Nong Bua Lamphu,387612.0368467407,2003
265.0,Nong Khai,587853.2612728252,2003
266.0,Nonthaburi,3615927.776216353,2003
267.0,Pathum Thani,4586578.157072217,2003
268.0,Pattani,761300.0324681987,2003
269.0,Phang Nga,828179.3620542163,2003
270.0,Phatthalung,834205.606778593,2003
271.0,Phayao,765487.3738216895,2003
272.0,Phetchabun,1577373.900897043,2003
273.0,Phetchaburi,1706046.114016345,2003
274.0,Phichit,979212.5792526874,2003
275.0,Phitsanulok,1897841.6400812413,2003
276.0,Phra Nakhon Si Ayutthaya,7083818.422522772,2003
277.0,Phrae,910974.4528177442,2003
278.0,Phuket,1200913.5956884488,2003
279.0,Prachin Buri,4146294.560222984,2003
280.0,Prachuap Khiri Khan,2436558.747761445,2003
281.0,Ranong,459828.6943050499,2003
282.0,Ratchaburi,9814141.294746691,2003
283.0,Rayong,11704005.940214654,2003
284.0,Roi Et,1348686.065426116,2003
285.0,Sa Kaeo,1019960.3582380142,2003
286.0,Sakon Nakhon,1125320.798884778,2003
287.0,Samut Prakan,4705705.864727461,2003
288.0,Samut Sakhon,1721933.0403176956,2003
289.0,Samut Songkhram,449471.1246214771,2003
290.0,Saraburi,4949613.631588,2003
291.0,Satun,747303.9835666189,2003
292.0,Sing Buri,638758.7319754924,2003
293.0,Sisaket,654800.0729423075,2003
294.0,Songkhla,3294164.665456301,2003
295.0,Sukhothai,1271813.5701898907,2003
296.0,Suphan Buri,4128529.247639285,2003
297.0,Surat Thani,3351628.651600784,2003
298.0,Surin,678753.7588118943,2003
299.0,Tak,1106738.7398445958,2003
300.0,Trang,1810325.0009173583,2003
301.0,Trat,515653.5299772434,2003
302.0,Ubon Ratchathani,1303282.479696349,2003
303.0,Udon Thani,2628855.760545716,2003
304.0,Uthai Thani,497290.2322208185,2003
305.0,Uttaradit,879472.3034720792,2003
